sku,product,group,role,filename,width,height,alt_text,status,production_url
RES-DIG-90D,"90-Day Metabolic Transformation",DIGITAL,gallery-1,RES-DIG-90D-gallery-1.webp,1600,1600,"ResoFit 90-Day Metabolic Transformation program cover with progressive training chart — gallery 1",UPLOAD REQUIRED,
RES-DIG-90D,"90-Day Metabolic Transformation",DIGITAL,gallery-2,RES-DIG-90D-gallery-2.webp,1600,1600,"ResoFit 90-Day Metabolic Transformation program cover with progressive training chart — gallery 2",UPLOAD REQUIRED,
RES-DIG-90D,"90-Day Metabolic Transformation",DIGITAL,gallery-3,RES-DIG-90D-gallery-3.webp,1600,1600,"ResoFit 90-Day Metabolic Transformation program cover with progressive training chart — gallery 3",UPLOAD REQUIRED,
RES-DIG-90D,"90-Day Metabolic Transformation",DIGITAL,lifestyle,RES-DIG-90D-lifestyle.webp,1920,1280,"ResoFit 90-Day Metabolic Transformation program cover with progressive training chart — lifestyle",UPLOAD REQUIRED,
RES-DIG-90D,"90-Day Metabolic Transformation",DIGITAL,detail,RES-DIG-90D-detail.webp,1600,1600,"ResoFit 90-Day Metabolic Transformation program cover with progressive training chart — detail",UPLOAD REQUIRED,
RES-DIG-90D,"90-Day Metabolic Transformation",DIGITAL,seo,RES-DIG-90D-seo.webp,1200,630,"ResoFit 90-Day Metabolic Transformation program cover with progressive training chart — seo",UPLOAD REQUIRED,
RES-COACH-01,"ChatB2K™ Premium Coaching",COACHING,hero,RES-COACH-01-hero.webp,1600,2000,"ChatB2K Premium Coaching dashboard showing habit streaks and meal telemetry — hero",UPLOAD REQUIRED,
RES-COACH-01,"ChatB2K™ Premium Coaching",COACHING,thumb,RES-COACH-01-thumb.webp,600,600,"ChatB2K Premium Coaching dashboard showing habit streaks and meal telemetry — thumb",UPLOAD REQUIRED,
RES-COACH-01,"ChatB2K™ Premium Coaching",COACHING,gallery-1,RES-COACH-01-gallery-1.webp,1600,1600,"ChatB2K Premium Coaching dashboard showing habit streaks and meal telemetry — gallery 1",UPLOAD REQUIRED,
RES-COACH-01,"ChatB2K™ Premium Coaching",COACHING,gallery-2,RES-COACH-01-gallery-2.webp,1600,1600,"ChatB2K Premium Coaching dashboard showing habit streaks and meal telemetry — gallery 2",UPLOAD REQUIRED,
RES-COACH-01,"ChatB2K™ Premium Coaching",COACHING,gallery-3,RES-COACH-01-gallery-3.webp,1600,1600,"ChatB2K Premium Coaching dashboard showing habit streaks and meal telemetry — gallery 3",UPLOAD REQUIRED,
RES-COACH-01,"ChatB2K™ Premium Coaching",COACHING,lifestyle,RES-COACH-01-lifestyle.webp,1920,1280,"ChatB2K Premium Coaching dashboard showing habit streaks and meal telemetry — lifestyle",UPLOAD REQUIRED,
RES-COACH-01,"ChatB2K™ Premium Coaching",COACHING,detail,RES-COACH-01-detail.webp,1600,1600,"ChatB2K Premium Coaching dashboard showing habit streaks and meal telemetry — detail",UPLOAD REQUIRED,
RES-COACH-01,"ChatB2K™ Premium Coaching",COACHING,seo,RES-COACH-01-seo.webp,1200,630,"ChatB2K Premium Coaching dashboard showing habit streaks and meal telemetry — seo",UPLOAD REQUIRED,
RES-IRON-15,"15kg Cast Iron Set",IRON,hero,RES-IRON-15-hero.webp,1600,2000,"ResoFit 15kg cast iron dumbbell and plate set on a home gym floor — hero",UPLOAD REQUIRED,
RES-IRON-15,"15kg Cast Iron Set",IRON,thumb,RES-IRON-15-thumb.webp,600,600,"ResoFit 15kg cast iron dumbbell and plate set on a home gym floor — thumb",UPLOAD REQUIRED,
RES-IRON-15,"15kg Cast Iron Set",IRON,gallery-1,RES-IRON-15-gallery-1.webp,1600,1600,"ResoFit 15kg cast iron dumbbell and plate set on a home gym floor — gallery 1",UPLOAD REQUIRED,
RES-IRON-15,"15kg Cast Iron Set",IRON,gallery-2,RES-IRON-15-gallery-2.webp,1600,1600,"ResoFit 15kg cast iron dumbbell and plate set on a home gym floor — gallery 2",UPLOAD REQUIRED,
RES-IRON-15,"15kg Cast Iron Set",IRON,gallery-3,RES-IRON-15-gallery-3.webp,1600,1600,"ResoFit 15kg cast iron dumbbell and plate set on a home gym floor — gallery 3",UPLOAD REQUIRED,
RES-IRON-15,"15kg Cast Iron Set",IRON,lifestyle,RES-IRON-15-lifestyle.webp,1920,1280,"ResoFit 15kg cast iron dumbbell and plate set on a home gym floor — lifestyle",UPLOAD REQUIRED,
RES-IRON-15,"15kg Cast Iron Set",IRON,detail,RES-IRON-15-detail.webp,1600,1600,"ResoFit 15kg cast iron dumbbell and plate set on a home gym floor — detail",UPLOAD REQUIRED,
RES-IRON-15,"15kg Cast Iron Set",IRON,seo,RES-IRON-15-seo.webp,1200,630,"ResoFit 15kg cast iron dumbbell and plate set on a home gym floor — seo",UPLOAD REQUIRED,
RES-IRON-30,"30kg Cast Iron Set",IRON,hero,RES-IRON-30-hero.webp,1600,2000,"ResoFit 30kg cast iron weight set with stacked plates and machined bar — hero",UPLOAD REQUIRED,
RES-IRON-30,"30kg Cast Iron Set",IRON,thumb,RES-IRON-30-thumb.webp,600,600,"ResoFit 30kg cast iron weight set with stacked plates and machined bar — thumb",UPLOAD REQUIRED,
RES-IRON-30,"30kg Cast Iron Set",IRON,gallery-1,RES-IRON-30-gallery-1.webp,1600,1600,"ResoFit 30kg cast iron weight set with stacked plates and machined bar — gallery 1",UPLOAD REQUIRED,
RES-IRON-30,"30kg Cast Iron Set",IRON,gallery-2,RES-IRON-30-gallery-2.webp,1600,1600,"ResoFit 30kg cast iron weight set with stacked plates and machined bar — gallery 2",UPLOAD REQUIRED,
RES-IRON-30,"30kg Cast Iron Set",IRON,gallery-3,RES-IRON-30-gallery-3.webp,1600,1600,"ResoFit 30kg cast iron weight set with stacked plates and machined bar — gallery 3",UPLOAD REQUIRED,
RES-IRON-30,"30kg Cast Iron Set",IRON,lifestyle,RES-IRON-30-lifestyle.webp,1920,1280,"ResoFit 30kg cast iron weight set with stacked plates and machined bar — lifestyle",UPLOAD REQUIRED,
RES-IRON-30,"30kg Cast Iron Set",IRON,detail,RES-IRON-30-detail.webp,1600,1600,"ResoFit 30kg cast iron weight set with stacked plates and machined bar — detail",UPLOAD REQUIRED,
RES-IRON-30,"30kg Cast Iron Set",IRON,seo,RES-IRON-30-seo.webp,1200,630,"ResoFit 30kg cast iron weight set with stacked plates and machined bar — seo",UPLOAD REQUIRED,
RES-IRON-50,"50kg Cast Iron Set",IRON,hero,RES-IRON-50-hero.webp,1600,2000,"ResoFit 50kg cast iron set with full plate ladder and machined barbell — hero",UPLOAD REQUIRED,
RES-IRON-50,"50kg Cast Iron Set",IRON,thumb,RES-IRON-50-thumb.webp,600,600,"ResoFit 50kg cast iron set with full plate ladder and machined barbell — thumb",UPLOAD REQUIRED,
RES-IRON-50,"50kg Cast Iron Set",IRON,gallery-1,RES-IRON-50-gallery-1.webp,1600,1600,"ResoFit 50kg cast iron set with full plate ladder and machined barbell — gallery 1",UPLOAD REQUIRED,
RES-IRON-50,"50kg Cast Iron Set",IRON,gallery-2,RES-IRON-50-gallery-2.webp,1600,1600,"ResoFit 50kg cast iron set with full plate ladder and machined barbell — gallery 2",UPLOAD REQUIRED,
RES-IRON-50,"50kg Cast Iron Set",IRON,gallery-3,RES-IRON-50-gallery-3.webp,1600,1600,"ResoFit 50kg cast iron set with full plate ladder and machined barbell — gallery 3",UPLOAD REQUIRED,
RES-IRON-50,"50kg Cast Iron Set",IRON,lifestyle,RES-IRON-50-lifestyle.webp,1920,1280,"ResoFit 50kg cast iron set with full plate ladder and machined barbell — lifestyle",UPLOAD REQUIRED,
RES-IRON-50,"50kg Cast Iron Set",IRON,detail,RES-IRON-50-detail.webp,1600,1600,"ResoFit 50kg cast iron set with full plate ladder and machined barbell — detail",UPLOAD REQUIRED,
RES-IRON-50,"50kg Cast Iron Set",IRON,seo,RES-IRON-50-seo.webp,1200,630,"ResoFit 50kg cast iron set with full plate ladder and machined barbell — seo",UPLOAD REQUIRED,
RES-BENCH-01,"Adjustable Elite Bench",BENCH,hero,RES-BENCH-01-hero.webp,1600,2000,"ResoFit Adjustable Elite Bench set to incline in a home gym — hero",UPLOAD REQUIRED,
RES-BENCH-01,"Adjustable Elite Bench",BENCH,thumb,RES-BENCH-01-thumb.webp,600,600,"ResoFit Adjustable Elite Bench set to incline in a home gym — thumb",UPLOAD REQUIRED,
RES-BENCH-01,"Adjustable Elite Bench",BENCH,gallery-1,RES-BENCH-01-gallery-1.webp,1600,1600,"ResoFit Adjustable Elite Bench set to incline in a home gym — gallery 1",UPLOAD REQUIRED,
RES-BENCH-01,"Adjustable Elite Bench",BENCH,gallery-2,RES-BENCH-01-gallery-2.webp,1600,1600,"ResoFit Adjustable Elite Bench set to incline in a home gym — gallery 2",UPLOAD REQUIRED,
RES-BENCH-01,"Adjustable Elite Bench",BENCH,gallery-3,RES-BENCH-01-gallery-3.webp,1600,1600,"ResoFit Adjustable Elite Bench set to incline in a home gym — gallery 3",UPLOAD REQUIRED,
RES-BENCH-01,"Adjustable Elite Bench",BENCH,lifestyle,RES-BENCH-01-lifestyle.webp,1920,1280,"ResoFit Adjustable Elite Bench set to incline in a home gym — lifestyle",UPLOAD REQUIRED,
RES-BENCH-01,"Adjustable Elite Bench",BENCH,detail,RES-BENCH-01-detail.webp,1600,1600,"ResoFit Adjustable Elite Bench set to incline in a home gym — detail",UPLOAD REQUIRED,
RES-BENCH-01,"Adjustable Elite Bench",BENCH,seo,RES-BENCH-01-seo.webp,1200,630,"ResoFit Adjustable Elite Bench set to incline in a home gym — seo",UPLOAD REQUIRED,
RES-BUNDLE-APEX,"Buchi Power Apex Bundle",BUNDLE,hero,RES-BUNDLE-APEX-hero.webp,1600,2000,"Buchi Power Apex Bundle showing 50kg iron set, elite bench and digital program covers — hero",UPLOAD REQUIRED,
RES-BUNDLE-APEX,"Buchi Power Apex Bundle",BUNDLE,thumb,RES-BUNDLE-APEX-thumb.webp,600,600,"Buchi Power Apex Bundle showing 50kg iron set, elite bench and digital program covers — thumb",UPLOAD REQUIRED,
RES-BUNDLE-APEX,"Buchi Power Apex Bundle",BUNDLE,gallery-1,RES-BUNDLE-APEX-gallery-1.webp,1600,1600,"Buchi Power Apex Bundle showing 50kg iron set, elite bench and digital program covers — gallery 1",UPLOAD REQUIRED,
RES-BUNDLE-APEX,"Buchi Power Apex Bundle",BUNDLE,gallery-2,RES-BUNDLE-APEX-gallery-2.webp,1600,1600,"Buchi Power Apex Bundle showing 50kg iron set, elite bench and digital program covers — gallery 2",UPLOAD REQUIRED,
RES-BUNDLE-APEX,"Buchi Power Apex Bundle",BUNDLE,gallery-3,RES-BUNDLE-APEX-gallery-3.webp,1600,1600,"Buchi Power Apex Bundle showing 50kg iron set, elite bench and digital program covers — gallery 3",UPLOAD REQUIRED,
RES-BUNDLE-APEX,"Buchi Power Apex Bundle",BUNDLE,lifestyle,RES-BUNDLE-APEX-lifestyle.webp,1920,1280,"Buchi Power Apex Bundle showing 50kg iron set, elite bench and digital program covers — lifestyle",UPLOAD REQUIRED,
RES-BUNDLE-APEX,"Buchi Power Apex Bundle",BUNDLE,detail,RES-BUNDLE-APEX-detail.webp,1600,1600,"Buchi Power Apex Bundle showing 50kg iron set, elite bench and digital program covers — detail",UPLOAD REQUIRED,
RES-BUNDLE-APEX,"Buchi Power Apex Bundle",BUNDLE,seo,RES-BUNDLE-APEX-seo.webp,1200,630,"Buchi Power Apex Bundle showing 50kg iron set, elite bench and digital program covers — seo",UPLOAD REQUIRED,
